X,Y,Z
-1.569231033325195312e+01,1.906328201293945312e+00,9.860376358032226562e+00
-1.938650131225585938e+01,1.906328201293945312e+00,9.860376358032226562e+00
-1.574703979492187500e+01,2.097879409790039062e+00,9.860376358032226562e+00
-1.574703979492187500e+01,2.097879409790039062e+00,9.860376358032226562e+00
-1.547339820861816406e+01,1.495863080024719238e+00,1.016138458251953125e+01
-1.569231033325195312e+01,1.906328201293945312e+00,9.860376358032226562e+00
-1.569231033325195312e+01,1.906328201293945312e+00,9.860376358032226562e+00
-1.547339820861816406e+01,1.495863080024719238e+00,1.016138458251953125e+01
-1.561022090911865234e+01,1.742142438888549805e+00,9.942469596862792969e+00
-1.561022090911865234e+01,1.742142438888549805e+00,9.942469596862792969e+00
-1.547339820861816406e+01,1.495863080024719238e+00,1.016138458251953125e+01
-1.555548763275146484e+01,1.605320811271667480e+00,1.002456283569335938e+01
-1.561022090911865234e+01,1.742142438888549805e+00,9.942469596862792969e+00
-1.555548763275146484e+01,1.605320811271667480e+00,1.002456283569335938e+01
-1.938650131225585938e+01,1.714777708053588867e+00,9.942469596862792969e+00
-1.938650131225585938e+01,1.906328201293945312e+00,9.860376358032226562e+00
-1.561022090911865234e+01,1.742142438888549805e+00,9.942469596862792969e+00
-1.938650131225585938e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.759581184387207031e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.759581184387207031e+01,1.906328201293945312e+00,9.860376358032226562e+00
-2.349115562438964844e+01,1.906328201293945312e+00,9.860376358032226562e+00
-2.349115562438964844e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.349115562438964844e+01,1.906328201293945312e+00,9.860376358032226562e+00
-1.938650131225585938e+01,1.906328201293945312e+00,9.860376358032226562e+00
-2.349115562438964844e+01,1.906328201293945312e+00,9.860376358032226562e+00
-2.349115562438964844e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.759581184387207031e+01,1.714777708053588867e+00,9.942469596862792969e+00
-1.938650131225585938e+01,1.906328201293945312e+00,9.860376358032226562e+00
-1.938650131225585938e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.349115562438964844e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.349115562438964844e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.349115562438964844e+01,1.714777708053588867e+00,9.942469596862792969e+00
-1.938650131225585938e+01,1.714777708053588867e+00,9.942469596862792969e+00
-1.938650131225585938e+01,1.714777708053588867e+00,9.942469596862792969e+00
-1.938650131225585938e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.349115562438964844e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.759581184387207031e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.759581184387207031e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.349115562438964844e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.349115562438964844e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.349115562438964844e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.759581184387207031e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.349115562438964844e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.759581184387207031e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.349115562438964844e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.759581184387207031e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.349115562438964844e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.759581184387207031e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.349115562438964844e+01,1.550591945648193359e+00,1.007929134368896484e+01
-1.938650131225585938e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.349115562438964844e+01,1.441134333610534668e+00,1.021611309051513672e+01
-1.938650131225585938e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.349115562438964844e+01,1.441134333610534668e+00,1.021611309051513672e+01
-1.938650131225585938e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.759581184387207031e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.759581184387207031e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.940185737609863281e+01,1.523227214813232422e+00,1.013401985168457031e+01
-2.759581184387207031e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.940185737609863281e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.940185737609863281e+01,1.495863080024719238e+00,1.016138458251953125e+01
-2.759581184387207031e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.940185737609863281e+01,1.495863080024719238e+00,1.016138458251953125e+01
-2.940185737609863281e+01,1.523227214813232422e+00,1.013401985168457031e+01
-2.940185737609863281e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.940185737609863281e+01,1.769506454467773438e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.742142438888549805e+00,9.942469596862792969e+00
-2.940185737609863281e+01,1.495863080024719238e+00,1.016138458251953125e+01
-2.940185737609863281e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.940185737609863281e+01,1.468499064445495605e+00,1.016138458251953125e+01
-2.940185737609863281e+01,1.359041452407836914e+00,1.057184982299804688e+01
-2.940185737609863281e+01,1.331676602363586426e+00,1.057184982299804688e+01
-2.940185737609863281e+01,1.331676602363586426e+00,1.054448509216308594e+01
-2.940185737609863281e+01,1.331676602363586426e+00,1.054448509216308594e+01
-2.940185737609863281e+01,1.359041452407836914e+00,1.054448509216308594e+01
-2.940185737609863281e+01,1.359041452407836914e+00,1.057184982299804688e+01
-2.940185737609863281e+01,1.331676602363586426e+00,1.057184982299804688e+01
-2.940185737609863281e+01,1.359041452407836914e+00,1.057184982299804688e+01
-2.940185737609863281e+01,1.331676602363586426e+00,1.059921455383300781e+01
-2.940185737609863281e+01,1.413770318031311035e+00,1.029820632934570312e+01
-2.940185737609863281e+01,1.359041452407836914e+00,1.040766429901123047e+01
-2.940185737609863281e+01,1.386405467987060547e+00,1.032557010650634766e+01
-2.940185737609863281e+01,1.074501991271972656e+01,9.860376358032226562e+00
-1.574703979492187500e+01,1.058083438873291016e+01,9.860376358032226562e+00
-2.940185737609863281e+01,1.071765518188476562e+01,9.860376358032226562e+00
-2.940185737609863281e+01,1.112812042236328125e+01,1.007929134368896484e+01
-2.940185737609863281e+01,1.115548419952392578e+01,1.010665607452392578e+01
-2.940185737609863281e+01,1.118285083770751953e+01,1.016138458251953125e+01
-2.940185737609863281e+01,1.468499064445495605e+00,1.016138458251953125e+01
-2.940185737609863281e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.940185737609863281e+01,1.523227214813232422e+00,1.013401985168457031e+01
-2.940185737609863281e+01,1.468499064445495605e+00,1.016138458251953125e+01
-2.940185737609863281e+01,1.523227214813232422e+00,1.013401985168457031e+01
-2.940185737609863281e+01,1.495863080024719238e+00,1.016138458251953125e+01
-2.940185737609863281e+01,1.550591945648193359e+00,1.007929134368896484e+01
-3.082480812072753906e+01,1.550591945648193359e+00,1.007929134368896484e+01
-2.940185737609863281e+01,1.577955961227416992e+00,1.005192661285400391e+01
-2.940185737609863281e+01,1.796871304512023926e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.769506454467773438e+00,9.942469596862792969e+00
-2.940185737609863281e+01,1.769506454467773438e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.605320811271667480e+00,1.002456283569335938e+01
-2.940185737609863281e+01,1.660049557685852051e+00,9.997198104858398438e+00
-2.940185737609863281e+01,1.632684826850891113e+00,1.002456283569335938e+01
-2.940185737609863281e+01,1.605320811271667480e+00,1.002456283569335938e+01
-2.940185737609863281e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.940185737609863281e+01,1.660049557685852051e+00,9.997198104858398438e+00
-2.940185737609863281e+01,2.015786647796630859e+00,9.860376358032226562e+00
-4.721606063842773438e+01,2.097879409790039062e+00,9.860376358032226562e+00
-2.940185737609863281e+01,2.043151378631591797e+00,9.860376358032226562e+00
-2.940185737609863281e+01,1.331676602363586426e+00,1.100967979431152344e+01
-2.940185737609863281e+01,1.331676602363586426e+00,1.103704452514648438e+01
-4.721606063842773438e+01,1.331676602363586426e+00,1.059921455383300781e+01
-2.940185737609863281e+01,1.769506454467773438e+00,9.942469596862792969e+00
-2.940185737609863281e+01,1.742142438888549805e+00,9.942469596862792969e+00
-2.940185737609863281e+01,1.769506454467773438e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.386405467987060547e+00,1.032557010650634766e+01
-2.940185737609863281e+01,1.359041452407836914e+00,1.040766429901123047e+01
-2.940185737609863281e+01,1.386405467987060547e+00,1.035293483734130859e+01
-2.940185737609863281e+01,1.386405467987060547e+00,1.035293483734130859e+01
-2.940185737609863281e+01,1.413770318031311035e+00,1.029820632934570312e+01
-2.940185737609863281e+01,1.386405467987060547e+00,1.032557010650634766e+01
-2.940185737609863281e+01,1.386405467987060547e+00,1.035293483734130859e+01
-2.940185737609863281e+01,1.441134333610534668e+00,1.021611309051513672e+01
-2.940185737609863281e+01,1.413770318031311035e+00,1.029820632934570312e+01
-2.940185737609863281e+01,1.769506454467773438e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.824235320091247559e+00,9.887740135192871094e+00
-2.940185737609863281e+01,1.796871304512023926e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.769506454467773438e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.906328201293945312e+00,9.860376358032226562e+00
-2.940185737609863281e+01,1.824235320091247559e+00,9.887740135192871094e+00
-2.940185737609863281e+01,1.824235320091247559e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.796871304512023926e+00,9.915104866027832031e+00
-2.940185737609863281e+01,1.824235320091247559e+00,9.887740135192871094e+00
-2.940185737609863281e+01,1.632684826850891113e+00,1.002456283569335938e+01
-2.940185737609863281e+01,1.577955961227416992e+00,1.005192661285400391e+01
-2.940185737609863281e+01,1.605320811271667480e+00,1.002456283569335938e+01
-2.940185737609863281e+01,1.769506454467773438e+00,9.942469596862792969e+00
-2.759581184387207031e+01,1.714777708053588867e+00,9.942469596862792969e+00
-2.940185737609863281e+01,1.742142438888549805e+00,9.942469596862792969e+00
-2.940185737609863281e+01,1.131967163085937500e+01,1.051712131500244141e+01
-2.940185737609863281e+01,1.131967163085937500e+01,1.054448509216308594e+01
-2.940185737609863281e+01,1.134703636169433594e+01,1.054448509216308594e+01
-2.940185737609863281e+01,1.074501991271972656e+01,1.281572818756103516e+01
-2.940185737609863281e+01,1.071765518188476562e+01,1.281572818756103516e+01
-2.940185737609863281e+01,1.071765518188476562e+01,1.284309291839599609e+01
-2.940185737609863281e+01,1.134703636169433594e+01,1.163906002044677734e+01
-4.721606063842773438e+01,1.134703636169433594e+01,1.210425472259521484e+01
-2.940185737609863281e+01,1.134703636169433594e+01,1.166642475128173828e+01
-2.940185737609863281e+01,1.134703636169433594e+01,1.122859477996826172e+01
-1.514502334594726562e+01,1.134703636169433594e+01,1.109177303314208984e+01
-2.940185737609863281e+01,1.134703636169433594e+01,1.120123100280761719e+01
-2.940185737609863281e+01,1.077238273620605469e+01,9.860376358032226562e+00
-2.940185737609863281e+01,1.077238273620605469e+01,9.887740135192871094e+00
-2.940185737609863281e+01,1.079974937438964844e+01,9.887740135192871094e+00
-2.940185737609863281e+01,1.123757839202880859e+01,1.021611309051513672e+01
-2.759581184387207031e+01,1.123757839202880859e+01,1.021611309051513672e+01
-2.940185737609863281e+01,1.121021366119384766e+01,1.018874835968017578e+01
-2.940185737609863281e+01,1.129230785369873047e+01,1.032557010650634766e+01
-2.759581184387207031e+01,1.123757839202880859e+01,1.021611309051513672e+01
-2.940185737609863281e+01,1.126494216918945312e+01,1.027084255218505859e+01
-2.942922401428222656e+01,1.129230785369873047e+01,1.048975658416748047e+01
-2.940185737609863281e+01,1.131967163085937500e+01,1.048975658416748047e+01
-2.940185737609863281e+01,1.134703636169433594e+01,1.051712131500244141e+01
-2.940185737609863281e+01,1.131967163085937500e+01,1.048975658416748047e+01
-2.940185737609863281e+01,1.131967163085937500e+01,1.051712131500244141e+01
-2.940185737609863281e+01,1.134703636169433594e+01,1.051712131500244141e+01
-2.940185737609863281e+01,1.104602813720703125e+01,1.002456283569335938e+01
-2.759581184387207031e+01,1.096393489837646484e+01,9.942469596862792969e+00
-2.940185737609863281e+01,1.101866340637207031e+01,9.997198104858398438e+00
-2.940185737609863281e+01,1.134703636169433594e+01,1.054448509216308594e+01
-2.940185737609863281e+01,1.134703636169433594e+01,1.051712131500244141e+01
-2.940185737609863281e+01,1.131967163085937500e+01,1.051712131500244141e+01
-2.940185737609863281e+01,1.107339286804199219e+01,1.002456283569335938e+01
-2.940185737609863281e+01,1.104602813720703125e+01,1.002456283569335938e+01
