X,Y,Z
-245.1526398469949,-257.43145453050795,-247.80537582789248
-254.03118628795605,-262.20558049162685,-266.94272651831443
-249.70246648037912,-253.97975264897713,-275.5209310207465
-252.3339137606842,-249.90282206842147,-267.8454220895241
-260.974426190063,-259.08222693997794,-274.5373835047815
-248.47898541553764,-252.14866799217842,-277.8128898977447
-260.5986318546431,-255.53715709811829,-270.5583079066953
-257.914465955907,-253.34808611197477,-261.7888072734511
-265.6794384351825,-257.8501110371144,-253.70624823327762
-260.68768245108015,-258.35933587526944,-226.70195239713297
-258.66106561330184,-257.15377326850626,-282.05276080398585
-257.8600266809632,-256.6824941883448,-285.74494590649215
-257.9247519299089,-256.08038596466395,-249.16959734054228
-262.30305641618304,-260.92684259035565,-281.7002611377318
-250.95218744389285,-257.4456952698054,-228.72790620361835
-249.9210612598357,-255.71174327409057,-232.34443429431386
-251.73063915834314,-250.28041228386846,-219.443547800744
-266.6382929342958,-249.75140207733284,-236.7841968479146
-249.0321373842043,-258.60860288593204,-224.32777363753848
-257.9220928102076,-256.5724736000791,-264.1432349348506
-254.6707647000734,-261.7275963441527,-279.013763225765
-254.42266171031355,-255.4625727952556,-282.7090752605011
-258.35464341671155,-255.44271293572825,-254.59599277812256
-255.31025078376126,-260.954133945447,-271.23687836697763
-256.40462472342045,-250.09410023270567,-273.22614872019915
-255.18632002283155,-255.49196356285267,-285.7630542702584
-250.60820902818364,-247.60832345245558,-231.6829198889293
-253.52884122226632,-255.06228390210035,-278.44488468336766
-251.82314376974676,-253.55051747199815,-234.13983523749116
-260.5202211608567,-257.85003857612315,-286.81670897028914
-257.98972226177824,-268.087027898269,-284.32986789055394
-252.46564433180146,-255.9675132064816,-270.0657156989994
-254.65292240055584,-249.20714971271943,-277.54619871098777
-254.52901456062858,-257.7981965850065,-244.50697994556515
-259.32649334067924,-245.22140680423558,-225.6110528754361
-240.75094427581632,-246.44845749653325,-268.95103770098405
-266.14089456267743,-251.72919265449377,-276.0908755429068
-255.06719870912542,-249.32885112418677,-260.05354177501806
-255.48261181093767,-261.48329447614697,-271.89086631351574
-252.69507892766222,-257.97161938606337,-275.83898132757315
-251.18027477145193,-250.80987309232165,-276.9630651414183
-245.26579124992452,-263.25140145391356,-266.25622942021704
-259.5995709694861,-252.41625397194406,-266.06119097871243
-254.7889805454227,-266.12775480688185,-260.02837761016656
-249.94865289952352,-253.14754546610325,-242.66883583907799
-257.7985829000211,-248.98921807671462,-248.3947208749689
-252.99135155411088,-254.39516177595897,-269.72023558410035
-248.92799553271064,-250.3094581701763,-255.3715747704232
-252.48248222958085,-256.8685230207085,-270.4559936221426
-249.15910400001457,-253.72887302780043,-237.30328782665828
-248.27006208386132,-264.6179017502337,-260.2344978946395
-256.5385508452319,-255.95743295078535,-235.47319111956025
-265.9846744372052,-243.87788821462195,-247.36876186871467
-243.3288248607365,-256.12401535948925,-260.45362186426007
-250.56578604585152,-255.57224897786858,-278.7021836379638
-245.0716778941774,-255.61693024725355,-269.9957449058976
-262.19915184270434,-261.0545948251898,-231.3624453781672
-255.66113083588084,-251.55906665990935,-262.2387812880561
-253.63856075232638,-248.73389805264725,-283.4677460872508
-256.5456313438133,-253.9848300172617,-282.6092442648122
-258.85194470462335,-254.78576799614513,-246.5540395336295
-253.26920072598892,-255.16548429021265,-251.78887811159603
-252.41070272032607,-257.3733205406353,-231.64119768275162
-254.4475241257453,-253.73399572948324,-228.29033355748118
-260.80912103454364,-251.4950297941014,-235.6250585314201
-245.68207544915543,-249.79135137123433,-286.30772299060243
-259.85859177049895,-243.38084643431182,-285.5583919615734
-250.91836469775183,-247.11340359689694,-228.36174600394702
-256.33502510271194,-252.95736951495792,-253.11683312760286
-256.85397930952786,-254.24453298555989,-226.0758339819722
-250.3993664531048,-251.99306915898734,-282.47167672161277
-255.8702720603672,-253.58566389611468,-236.4746405263937
-253.4134692170159,-253.02802531449538,-251.81888938298925
-252.1731232851531,-247.98577080622448,-252.9401566882558
-251.52428927736588,-249.2947067445288,-249.4248553449271
-243.45638863127897,-257.1200964975456,-225.55441056249575
-251.5810653114591,-253.8052924944946,-274.47154092326946
-253.22924291602556,-256.4264628287498,-244.02099063723892
-256.87925076187935,-248.63125043694384,-251.41944995269327
-244.46767446362313,-253.4734526530905,-225.50629000470977
-258.9478393072057,-257.6830880782204,-265.5756675990387
-256.54994485628566,-261.09258127098667,-235.52066368205763
-262.9352139858426,-257.2512748615984,-233.25586836161696
-258.1459667687385,-251.16185014932967,-225.50710558298294
-244.974110530068,-248.7397813559016,-259.6837965144812
-253.99438087216615,-251.01170421947324,-268.9478609055876
-255.39824303314725,-256.3107615534061,-251.11037320646554
-252.72778085136144,-249.67764045863962,-270.86173956441166
-264.6609997088648,-250.04223299711114,-277.7093552965987
-250.38520306100585,-242.55375109688347,-233.24760677603913
-251.21016707199553,-246.87351809074482,-256.74556589877136
-251.32286567517917,-251.9218350410369,-234.58201548268818
-251.5334784646118,-254.3713449531339,-283.24432268753213
-255.64003949314198,-251.84427046646869,-228.64493905722603
-261.3508699672255,-243.38075605534294,-278.8671579977254
-257.83786151490494,-244.13993695359977,-242.50008613115733
-258.9504626023194,-245.177323523332,-260.0691702818731
-257.6951748052054,-259.46922610903096,-282.14931253454006
-252.8073579629413,-252.13449508008333,-261.8959494111525
-254.5363443393491,-244.70660544476567,-235.36398420252698
-255.10828265863967,-253.46891683842276,-266.80146429044214
-256.255187022531,-250.58580197683784,-250.25577748241713
-258.64967842493013,-242.37885866897153,-262.02743658028544
-247.20888910808134,-253.4226022365817,-280.45423571267327
-249.91600244884864,-249.63883385508967,-240.02268316222904
-253.865189760125,-252.45921247208705,-269.30945878239356
-249.19544392664238,-238.47135176593713,-240.83882412530008
-253.1443345751166,-245.28872991260752,-254.26909000123476
-249.91725506050045,-249.4552772725765,-252.65552239419134
-255.21021961087789,-256.1912644125498,-269.8615094644624
-247.59408632680777,-249.84722363978997,-233.7104312710158
-253.24074392143848,-247.2946811775961,-286.0613422792745
-254.76463024620358,-254.66200616353404,-257.6361727369076
-250.5831343442702,-244.80296008435897,-257.4130920304716
-252.66396346992343,-250.16307787686335,-264.9832603971785
-247.80667700447412,-251.54632165484287,-258.7048965584928
-257.28943397733246,-237.19535371420972,-285.9541535211406
-256.34595279301595,-250.84354573086296,-242.54721534680226
-257.0999667007014,-247.1768727119695,-263.3392892886309
-248.80053265454418,-247.18887462489056,-248.98702710190258
-248.39299718457636,-236.2305293798628,-292.87535626392946
-252.58651789974684,-260.9271010430967,-248.9625104143567
-249.3360760500513,-243.44874157038828,-242.8635550214616
-248.8357421322715,-253.88733999451404,-263.9651115040832
-255.0872466821622,-247.28494944985388,-235.94701331899654
-259.15455836931335,-244.25764985737788,-268.1582634076341
-258.9356814159666,-252.69412148720124,-228.62334268626878
-249.88403703840788,-261.5109157422857,-253.61916170574523
-251.7016502360359,-241.8325781770065,-269.3133563720333
-257.05686083037585,-245.2331946469037,-234.7023467198302
-252.7282678113782,-251.47063538416225,-256.7218951811359
-253.2557707124327,-248.6872607677197,-264.2769462914009
-257.0914121607587,-244.18467048057508,-281.95152964591773
-259.3470997442339,-240.97348623161344,-267.1758891918056
