X,Y,Z
 -2,-40,  0
 -3,-41,  0
 -4,-41,  0
 -5,-41,  0
 -6,-42,  0
 -7,-43,  0
 -8,-43,  0
 -9,-43,  0
-10,-44,  0
-11,-44,  0
-12,-45,  0
-13,-45,  0
-14,-46,  0
-15,-46,  0
-16,-47,  0
-17,-47,  0
-18,-48,  0
-20,-48,  0
-21,-49,  0
-22,-49,  0
-23,-50,  0
-24,-50,  0
-26,-51,  0
-27,-52,  0
-28,-52,  0
-30,-53,  0
-31,-53,  0
-33,-54,  0
-34,-55,  0
-36,-55,  0
-37,-56,  0
 -2,-39,  0
-37,-54,  0
 -3,-38,  0
-37,-53,  0
 -3,-37,  0
-37,-51,  0
 -3,-36,  0
-37,-49,  0
 -3,-35,  0
-37,-48,  0
 -4,-34,  0
-36,-46,  0
 -4,-33,  0
-36,-45,  0
 -4,-32,  0
-36,-43,  0
 -4,-31,  0
-36,-42,  0
 -4,-30,  0
-36,-41,  0
 -5,-29,  0
-36,-39,  0
 -5,-28,  0
-36,-38,  0
 -5,-27,  0
-36,-37,  0
-36,-35,  0
 -5,-26,  0
-36,-34,  0
 -6,-25,  0
-36,-33,  0
 -6,-24,  0
-35,-32,  0
 -6,-23,  0
-35,-31,  0
 -6,-22,  0
-35,-30,  0
-35,-28,  0
 -7,-21,  0
-35,-27,  0
 -7,-20,  0
-35,-26,  0
 -7,-19,  0
-35,-25,  0
-35,-24,  0
 -7,-18,  0
-35,-23,  0
 -7,-17,  0
-35,-22,  0
 -8,-16,  0
-35,-21,  0
-35,-20,  0
 -8,-15,  0
-35,-19,  0
 -8,-14,  0
 -9,-14,  0
-10,-14,  0
-11,-14,  0
-12,-14,  0
-13,-14,  0
-14,-15,  0
-15,-15,  0
-16,-15,  0
-17,-15,  0
-18,-15,  0
-19,-15,  0
-20,-15,  0
-21,-16,  0
-22,-16,  0
-23,-16,  0
-24,-16,  0
-25,-16,  0
-26,-16,  0
-27,-17,  0
-28,-17,  0
-29,-17,  0
-30,-17,  0
-31,-17,  0
-32,-17,  0
-33,-17,  0
-35,-18,  0
 -8,-13,  0
-35,-17,  0
-37,-57,  0
 -1,-40,  0
-38,-57,  0
 -7,-12,  0
-35,-16,  0
  0,-40,  0
-38,-58,  0
-35,-15,  0
-39,-58,  0
 -6,-11,  0
-35,-14,  0
  1,-40,  0
-39,-59,  0
 -6,-10,  0
-36,-14,  0
-36,-13,  0
  2,-40,  0
-40,-60,  0
 -5, -9,  0
  2,-39,  0
-36,-12,  0
  3,-39,  0
