X,Y,Z
  0,  0,  0
128, 64, 64
132, 64, 64
136, 64, 64
140, 64, 64
144, 64, 64
148, 64, 64
152, 64, 64
156, 64, 64
160, 64, 64
164, 64, 64
168, 64, 64
172, 64, 64
176, 64, 64
180, 64, 64
184, 64, 64
188, 64, 64
128, 68, 64
132, 68, 64
136, 68, 64
140, 68, 64
144, 68, 64
148, 68, 64
152, 68, 64
156, 68, 64
160, 68, 64
164, 68, 64
168, 68, 64
172, 68, 64
176, 68, 64
180, 68, 64
184, 68, 64
188, 68, 64
128, 72, 64
132, 72, 64
136, 72, 64
140, 72, 64
144, 72, 64
148, 72, 64
152, 72, 64
156, 72, 64
160, 72, 64
164, 72, 64
168, 72, 64
172, 72, 64
176, 72, 64
180, 72, 64
184, 72, 64
188, 72, 64
128, 76, 64
132, 76, 64
136, 76, 64
140, 76, 64
144, 76, 64
148, 76, 64
152, 76, 64
156, 76, 64
160, 76, 64
164, 76, 64
168, 76, 64
172, 76, 64
176, 76, 64
180, 76, 64
184, 76, 64
188, 76, 64
128, 80, 64
132, 80, 64
136, 80, 64
140, 80, 64
144, 80, 64
148, 80, 64
152, 80, 64
156, 80, 64
160, 80, 64
164, 80, 64
168, 80, 64
172, 80, 64
176, 80, 64
180, 80, 64
184, 80, 64
188, 80, 64
128, 84, 64
132, 84, 64
136, 84, 64
140, 84, 64
144, 84, 64
148, 84, 64
152, 84, 64
156, 84, 64
160, 84, 64
164, 84, 64
168, 84, 64
172, 84, 64
176, 84, 64
180, 84, 64
184, 84, 64
188, 84, 64
128, 88, 64
132, 88, 64
136, 88, 64
140, 88, 64
144, 88, 64
148, 88, 64
152, 88, 64
156, 88, 64
160, 88, 64
164, 88, 64
168, 88, 64
172, 88, 64
176, 88, 64
180, 88, 64
184, 88, 64
188, 88, 64
128, 92, 64
132, 92, 64
136, 92, 64
140, 92, 64
144, 92, 64
148, 92, 64
152, 92, 64
156, 92, 64
160, 92, 64
164, 92, 64
168, 92, 64
172, 92, 64
176, 92, 64
180, 92, 64
184, 92, 64
188, 92, 64
128, 96, 64
132, 96, 64
136, 96, 64
140, 96, 64
144, 96, 64
148, 96, 64
152, 96, 64
156, 96, 64
160, 96, 64
164, 96, 64
168, 96, 64
172, 96, 64
176, 96, 64
180, 96, 64
184, 96, 64
188, 96, 64
128,100, 64
132,100, 64
136,100, 64
140,100, 64
144,100, 64
148,100, 64
152,100, 64
156,100, 64
160,100, 64
164,100, 64
168,100, 64
172,100, 64
176,100, 64
180,100, 64
184,100, 64
188,100, 64
128,104, 64
132,104, 64
136,104, 64
140,104, 64
144,104, 64
148,104, 64
152,104, 64
156,104, 64
160,104, 64
164,104, 64
168,104, 64
172,104, 64
176,104, 64
180,104, 64
184,104, 64
188,104, 64
128,108, 64
132,108, 64
136,108, 64
140,108, 64
144,108, 64
148,108, 64
152,108, 64
156,108, 64
160,108, 64
164,108, 64
168,108, 64
172,108, 64
176,108, 64
180,108, 64
184,108, 64
188,108, 64
128,112, 64
132,112, 64
136,112, 64
140,112, 64
144,112, 64
148,112, 64
152,112, 64
156,112, 64
160,112, 64
164,112, 64
168,112, 64
172,112, 64
176,112, 64
180,112, 64
184,112, 64
188,112, 64
128,116, 64
132,116, 64
136,116, 64
140,116, 64
144,116, 64
148,116, 64
152,116, 64
156,116, 64
160,116, 64
164,116, 64
168,116, 64
172,116, 64
176,116, 64
180,116, 64
184,116, 64
188,116, 64
128,120, 64
132,120, 64
136,120, 64
140,120, 64
144,120, 64
148,120, 64
152,120, 64
156,120, 64
160,120, 64
164,120, 64
168,120, 64
172,120, 64
176,120, 64
180,120, 64
184,120, 64
188,120, 64
128,124, 64
132,124, 64
136,124, 64
140,124, 64
144,124, 64
148,124, 64
152,124, 64
156,124, 64
160,124, 64
164,124, 64
168,124, 64
172,124, 64
176,124, 64
180,124, 64
184,124, 64
188,124, 64
128, 64, 68
132, 64, 68
136, 64, 68
140, 64, 68
144, 64, 68
148, 64, 68
152, 64, 68
156, 64, 68
160, 64, 68
164, 64, 68
168, 64, 68
172, 64, 68
176, 64, 68
180, 64, 68
184, 64, 68
188, 64, 68
128, 68, 68
188, 68, 68
128, 72, 68
188, 72, 68
128, 76, 68
188, 76, 68
128, 80, 68
188, 80, 68
128, 84, 68
188, 84, 68
128, 88, 68
188, 88, 68
128, 92, 68
188, 92, 68
128, 96, 68
188, 96, 68
128,100, 68
188,100, 68
128,104, 68
188,104, 68
128,108, 68
188,108, 68
128,112, 68
188,112, 68
128,116, 68
188,116, 68
128,120, 68
188,120, 68
128,124, 68
132,124, 68
136,124, 68
140,124, 68
144,124, 68
148,124, 68
152,124, 68
156,124, 68
160,124, 68
164,124, 68
168,124, 68
172,124, 68
176,124, 68
180,124, 68
184,124, 68
188,124, 68
128, 64, 72
132, 64, 72
136, 64, 72
140, 64, 72
144, 64, 72
148, 64, 72
152, 64, 72
156, 64, 72
160, 64, 72
164, 64, 72
168, 64, 72
172, 64, 72
176, 64, 72
180, 64, 72
184, 64, 72
188, 64, 72
128, 68, 72
188, 68, 72
128, 72, 72
188, 72, 72
128, 76, 72
188, 76, 72
128, 80, 72
188, 80, 72
128, 84, 72
188, 84, 72
128, 88, 72
188, 88, 72
128, 92, 72
188, 92, 72
128, 96, 72
188, 96, 72
128,100, 72
188,100, 72
128,104, 72
188,104, 72
128,108, 72
188,108, 72
128,112, 72
188,112, 72
128,116, 72
188,116, 72
128,120, 72
188,120, 72
128,124, 72
132,124, 72
136,124, 72
140,124, 72
144,124, 72
148,124, 72
152,124, 72
156,124, 72
160,124, 72
164,124, 72
168,124, 72
172,124, 72
176,124, 72
180,124, 72
184,124, 72
188,124, 72
128, 64, 76
132, 64, 76
136, 64, 76
140, 64, 76
144, 64, 76
148, 64, 76
152, 64, 76
156, 64, 76
160, 64, 76
164, 64, 76
168, 64, 76
172, 64, 76
176, 64, 76
180, 64, 76
184, 64, 76
188, 64, 76
128, 68, 76
188, 68, 76
128, 72, 76
188, 72, 76
128, 76, 76
188, 76, 76
128, 80, 76
188, 80, 76
128, 84, 76
188, 84, 76
128, 88, 76
188, 88, 76
128, 92, 76
188, 92, 76
128, 96, 76
188, 96, 76
128,100, 76
188,100, 76
128,104, 76
188,104, 76
128,108, 76
188,108, 76
128,112, 76
188,112, 76
128,116, 76
