Frame,X,Y,Z
   0,   0,   0,   0
   9,-160, -32, -32
   9,-159, -32, -32
   9,-158, -32, -32
   9,-157, -32, -32
   9,-156, -32, -32
   9,-155, -32, -32
   9,-154, -32, -32
   9,-153, -32, -32
   9,-152, -32, -32
   9,-151, -32, -32
   9,-150, -32, -32
   9,-149, -32, -32
   9,-148, -32, -32
   9,-147, -32, -32
   9,-146, -32, -32
   9,-145, -32, -32
   9,-144, -32, -32
   9,-143, -32, -32
   9,-142, -32, -32
   9,-141, -32, -32
   9,-140, -32, -32
   9,-139, -32, -32
   9,-138, -32, -32
   9,-137, -32, -32
   9,-136, -32, -32
   9,-135, -32, -32
   9,-134, -32, -32
   9,-133, -32, -32
   9,-132, -32, -32
   9,-131, -32, -32
   9,-130, -32, -32
   9,-129, -32, -32
   9,-128, -32, -32
   9,-127, -32, -32
   9,-126, -32, -32
   9,-125, -32, -32
   9,-124, -32, -32
   9,-123, -32, -32
   9,-122, -32, -32
   9,-121, -32, -32
   9,-120, -32, -32
   9,-119, -32, -32
   9,-118, -32, -32
   9,-117, -32, -32
   9,-116, -32, -32
   9,-115, -32, -32
   9,-114, -32, -32
   9,-113, -32, -32
   9,-112, -32, -32
   9,-111, -32, -32
   9,-110, -32, -32
   9,-109, -32, -32
   9,-108, -32, -32
   9,-107, -32, -32
   9,-106, -32, -32
   9,-105, -32, -32
   9,-104, -32, -32
   9,-103, -32, -32
   9,-102, -32, -32
   9,-101, -32, -32
   9,-100, -32, -32
   9, -99, -32, -32
   9, -98, -32, -32
   9, -97, -32, -32
   9,-160, -31, -32
   9, -97, -31, -32
   9,-160, -30, -32
   9, -97, -30, -32
   9,-160, -29, -32
   9, -97, -29, -32
   9,-160, -28, -32
   9, -97, -28, -32
   9,-160, -27, -32
   9, -97, -27, -32
   9,-160, -26, -32
   9, -97, -26, -32
   9,-160, -25, -32
   9, -97, -25, -32
   9,-160, -24, -32
   9, -97, -24, -32
   9,-160, -23, -32
   9, -97, -23, -32
   9,-160, -22, -32
   9, -97, -22, -32
   9,-160, -21, -32
   9, -97, -21, -32
   9,-160, -20, -32
   9, -97, -20, -32
   9,-160, -19, -32
   9, -97, -19, -32
   9,-160, -18, -32
   9, -97, -18, -32
   9,-160, -17, -32
   9, -97, -17, -32
   9,-160, -16, -32
   9, -97, -16, -32
   9,-160, -15, -32
   9, -97, -15, -32
   9,-160, -14, -32
   9, -97, -14, -32
   9,-160, -13, -32
   9, -97, -13, -32
   9,-160, -12, -32
   9, -97, -12, -32
   9,-160, -11, -32
   9, -97, -11, -32
   9,-160, -10, -32
   9, -97, -10, -32
   9,-160,  -9, -32
   9, -97,  -9, -32
   9,-160,  -8, -32
   9, -97,  -8, -32
   9,-160,  -7, -32
   9, -97,  -7, -32
   9,-160,  -6, -32
   9, -97,  -6, -32
   9,-160,  -5, -32
   9, -97,  -5, -32
   9,-160,  -4, -32
   9, -97,  -4, -32
   9,-160,  -3, -32
   9, -97,  -3, -32
   9,-160,  -2, -32
   9, -97,  -2, -32
   9,-160,  -1, -32
   9, -97,  -1, -32
   9,-160,   0, -32
   9, -97,   0, -32
   9,-160,   1, -32
   9, -97,   1, -32
   9,-160,   2, -32
   9, -97,   2, -32
   9,-160,   3, -32
   9, -97,   3, -32
   9,-160,   4, -32
   9, -97,   4, -32
   9,-160,   5, -32
   9, -97,   5, -32
   9,-160,   6, -32
   9, -97,   6, -32
   9,-160,   7, -32
   9, -97,   7, -32
   9,-160,   8, -32
   9, -97,   8, -32
   9,-160,   9, -32
