X,Y,Z
  7,-88, 61
  8,-87, 61
  8,-87, 61
  9,-86, 62
 10,-86, 62
 11,-85, 62
 12,-85, 63
 12,-84, 63
 13,-83, 64
 14,-83, 64
 15,-82, 64
 15,-82, 65
 16,-81, 65
 17,-81, 65
 18,-80, 66
 19,-80, 66
 19,-79, 66
 20,-79, 67
 21,-78, 67
 22,-78, 67
 22,-77, 68
 23,-77, 68
 24,-76, 68
 25,-76, 69
 26,-75, 69
 26,-74, 69
 27,-74, 70
 28,-73, 70
 29,-73, 70
 29,-72, 71
 30,-72, 71
 31,-71, 71
 32,-71, 72
 32,-70, 72
 33,-70, 72
 34,-69, 73
 35,-69, 73
 36,-68, 74
 36,-68, 74
 37,-67, 74
 38,-66, 75
 39,-66, 75
 39,-65, 75
 40,-65, 76
 41,-64, 76
 42,-64, 76
 43,-63, 77
 43,-63, 77
 44,-62, 77
 45,-62, 78
 46,-61, 78
 46,-61, 78
 47,-60, 79
 48,-60, 79
 49,-59, 79
 50,-59, 80
 50,-58, 80
 51,-57, 80
 52,-57, 81
 53,-56, 81
 53,-56, 81
 54,-55, 82
 55,-55, 82
 56,-54, 82
  6,-87, 61
 55,-53, 82
  6,-86, 60
 55,-53, 82
  5,-85, 60
 54,-52, 82
  5,-84, 60
 54,-51, 82
  5,-83, 60
 53,-50, 81
  4,-83, 59
 53,-49, 81
  4,-82, 59
 52,-48, 81
  3,-81, 59
 52,-48, 81
  3,-80, 59
 51,-47, 81
  2,-79, 59
 51,-46, 80
  2,-78, 58
 50,-45, 80
  1,-78, 58
 50,-44, 80
  1,-77, 58
 49,-43, 80
  0,-76, 58
 49,-42, 79
  0,-75, 58
 48,-42, 79
  0,-74, 57
 48,-41, 79
  0,-73, 57
 48,-40, 79
 -1,-72, 57
 47,-39, 79
 -1,-72, 57
 47,-38, 78
 -2,-71, 56
 46,-37, 78
 -2,-70, 56
 46,-36, 78
 -3,-69, 56
 45,-36, 78
 -3,-68, 56
 45,-35, 78
 -4,-67, 56
 44,-34, 77
 -4,-66, 55
 44,-33, 77
 -5,-66, 55
 43,-32, 77
 -5,-65, 55
 43,-31, 77
 -6,-64, 55
 42,-31, 76
 -6,-63, 55
 42,-30, 76
 -7,-62, 54
 41,-29, 76
 -7,-61, 54
 41,-28, 76
 -8,-61, 54
 40,-27, 76
 -8,-60, 54
 40,-26, 75
 -9,-59, 53
 39,-25, 75
 -9,-58, 53
 39,-25, 75
 -9,-57, 53
 38,-24, 75
-10,-56, 53
 38,-23, 75
-10,-55, 53
 37,-22, 74
-11,-55, 52
 37,-21, 74
-11,-54, 52
 36,-20, 74
-12,-53, 52
 36,-20, 74
-12,-52, 52
 35,-19, 73
-13,-51, 51
 35,-18, 73
-13,-50, 51
 34,-17, 73
-14,-50, 51
 34,-16, 73
-14,-49, 51
 33,-15, 73
-15,-48, 51
 33,-14, 72
-15,-47, 50
 33,-14, 72
-16,-46, 50
 32,-13, 72
-16,-45, 50
 32,-12, 72
-17,-44, 50
 31,-11, 71
-17,-44, 50
 31,-10, 71
-18,-43, 49
 30, -9, 71
-18,-42, 49
 30, -9, 71
-19,-41, 49
 29, -8, 71
-19,-40, 49
 29, -7, 70
-20,-39, 48
 28, -6, 70
-20,-39, 48
 28, -5, 70
-21,-38, 48
 27, -4, 70
-21,-37, 48
 27, -3, 70
-22,-36, 48
 26, -3, 69
-22,-35, 47
 26, -2, 69
-23,-34, 47
-22,-34, 48
-21,-33, 48
-20,-33, 48
-19,-32, 49
-19,-32, 49
-18,-31, 49
-17,-31, 50
-16,-30, 50
-16,-29, 50
-15,-29, 51
-14,-28, 51
-13,-28, 51
-12,-27, 52
-12,-27, 52
-11,-26, 52
-10,-26, 53
 -9,-25, 53
 -9,-25, 53
 -8,-24, 54
 -7,-24, 54
 -6,-23, 54
 -6,-23, 55
 -5,-22, 55
 -4,-22, 55
 -3,-21, 56
 -2,-20, 56
 -2,-20, 56
 -1,-19, 57
  0,-19, 57
  0,-18, 58
  0,-18, 58
  1,-17, 58
  2,-17, 59
  3,-16, 59
  4,-16, 59
  4,-15, 60
  5,-15, 60
  6,-14, 60
  7,-14, 61
  7,-13, 61
  8,-13, 61
  9,-12, 62
 10,-11, 62
 11,-11, 62
 11,-10, 63
 12,-10, 63
 13, -9, 63
 14, -9, 64
 14, -8, 64
 15, -8, 64
 16, -7, 65
 17, -7, 65
 17, -6, 65
 18, -6, 66
 19, -5, 66
 20, -5, 66
 21, -4, 67
 21, -4, 67
 22, -3, 68
 23, -2, 68
 24, -2, 68
 24, -1, 69
 25, -1, 69
  7,-88, 62
 55,-54, 83
-23,-34, 48
 25, -1, 70
  6,-88, 63
 55,-54, 84
-23,-34, 49
 24, -1, 71
  6,-88, 63
 55,-54, 85
-24,-34, 50
 24, -1, 72
  5,-88, 64
 54,-54, 86
-24,-34, 51
 24, -1, 73
  5,-88, 65
 54,-54, 87
-25,-34, 52
 23, -1, 73
  4,-88, 66
 53,-54, 88
-25,-34, 53
 23, -1, 74
  4,-88, 67
 53,-54, 89
-25,-34, 54
 22, -1, 75
  4,-88, 68
 52,-54, 90
-26,-34, 54
 22, -1, 76
  3,-88, 69
 52,-54, 91
-26,-34, 55
 22, -1, 77
  3,-88, 70
 52,-54, 92
-27,-34, 56
 21, -1, 78
  2,-88, 71
 51,-54, 93
-27,-34, 57
 21, -1, 79
  2,-88, 72
 51,-54, 93
-27,-34, 58
 20, -1, 80
  2,-88, 73
 50,-54, 94
-28,-34, 59
 20, -1, 81
  1,-88, 74
 50,-54, 95
-28,-34, 60
 20, -1, 82
  1,-88, 74
 50,-54, 96
-29,-34, 61
 19, -1, 83
  0,-88, 75
 49,-54, 97
-29,-34, 62
 19, -1, 84
  0,-88, 76
 49,-54, 98
-29,-34, 63
 18, -1, 84
  0,-88, 77
 48,-54, 99
-30,-34, 64
 18, -1, 85
  0,-88, 78
 48,-54,100
-30,-34, 65
 18, -1, 86
  0,-88, 79
 48,-54,101
-31,-34, 65
 17, -1, 87
 -1,-88, 80
 47,-54,102
-31,-34, 66
 17, -1, 88
 -1,-88, 81
 47,-54,103
-32,-34, 67
 16, -1, 89
 -1,-88, 82
 46,-54,103
-32,-34, 68
 16, -1, 90
 -2,-88, 83
 46,-54,104
-32,-34, 69
 15, -1, 91
 -2,-88, 84
 46,-54,105
-33,-34, 70
 15, -1, 92
 -3,-88, 85
 45,-54,106
-33,-34, 71
 15, -1, 93
 -3,-88, 85
 45,-54,107
-34,-34, 72
 14, -1, 94
 -3,-88, 86
 44,-54,108
-34,-34, 73
 14, -1, 94
 -4,-88, 87
 44,-54,109
-34,-34, 74
 13, -1, 95
 -4,-88, 88
 44,-54,110
-35,-34, 75
 13, -1, 96
 -5,-88, 89
 43,-54,111
-35,-34, 75
 13, -1, 97
 -5,-88, 90
 43,-54,112
-36,-34, 76
 12, -1, 98
 -5,-88, 91
 42,-54,113
-36,-34, 77
 12, -1, 99
 -6,-88, 92
 42,-54,114
-36,-34, 78
 11, -1,100
 -6,-88, 93
 42,-54,114
-37,-34, 79
 11, -1,101
